Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1880,-0.2,-0.26,-0.09,-0.17,-0.1,-0.22,-0.21,-0.11,-0.16,-0.23,-0.23,-0.19
1881,-0.2,-0.16,0.02,0.03,0.06,-0.19,0,-0.05,-0.16,-0.22,-0.19,-0.08
1882,0.15,0.13,0.04,-0.17,-0.14,-0.23,-0.17,-0.08,-0.15,-0.24,-0.17,-0.37
1883,-0.3,-0.37,-0.13,-0.19,-0.18,-0.08,-0.08,-0.15,-0.23,-0.12,-0.24,-0.12
1884,-0.13,-0.09,-0.37,-0.41,-0.34,-0.35,-0.31,-0.28,-0.28,-0.25,-0.34,-0.31
1885,-0.59,-0.34,-0.27,-0.42,-0.46,-0.44,-0.34,-0.32,-0.29,-0.24,-0.24,-0.11
1886,-0.44,-0.51,-0.43,-0.28,-0.25,-0.35,-0.18,-0.31,-0.24,-0.28,-0.28,-0.26
1887,-0.72,-0.57,-0.36,-0.35,-0.31,-0.25,-0.26,-0.36,-0.26,-0.36,-0.27,-0.33
1888,-0.34,-0.36,-0.42,-0.21,-0.22,-0.17,-0.11,-0.16,-0.12,0.01,0.02,-0.04
1889,-0.1,0.16,0.06,0.09,-0.02,-0.1,-0.08,-0.21,-0.24,-0.26,-0.34,-0.29
1890,-0.42,-0.45,-0.41,-0.3,-0.4,-0.25,-0.28,-0.4,-0.37,-0.25,-0.44,-0.32
1891,-0.34,-0.47,-0.18,-0.28,-0.17,-0.21,-0.18,-0.18,-0.16,-0.22,-0.32,-0.04
1892,-0.3,-0.12,-0.4,-0.34,-0.23,-0.22,-0.32,-0.27,-0.17,-0.14,-0.43,-0.4
1893,-0.81,-0.57,-0.23,-0.28,-0.34,-0.25,-0.14,-0.26,-0.23,-0.19,-0.19,-0.32
1894,-0.53,-0.3,-0.24,-0.45,-0.32,-0.41,-0.24,-0.24,-0.28,-0.23,-0.27,-0.22
1895,-0.42,-0.43,-0.33,-0.22,-0.28,-0.21,-0.17,-0.18,-0.13,-0.11,-0.18,-0.15
1896,-0.23,-0.13,-0.27,-0.31,-0.16,-0.12,-0.03,-0.06,-0.08,0.05,-0.05,-0.06
